tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
5426,3.095398,1069.298,-148.6955,-1061.3589,-263.4071,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5427,3.0723877,1065.7736,-149.3883,-1062.0737,-263.41095,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5428,3.0490417,1062.2118,-150.20267,-1062.6427,-263.41394,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5429,3.0490417,1058.6163,-150.73962,-1063.0745,-263.41626,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5430,3.0723877,1054.9907,-151.27693,-1063.3772,-263.4286,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5431,3.095398,1051.3379,-151.6405,-1063.559,-263.4419,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5432,3.1184082,1047.6611,-152.05627,-1063.6276,-263.4552,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5433,3.1647491,1043.963,-152.38553,-1063.5903,-263.46857,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5434,3.1647491,1040.2454,-152.5589,-1063.4547,-263.48206,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5435,3.1647491,1036.51,-152.64542,-1063.2285,-263.4956,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
5436,3.1647491,1032.758,-152.64542,-1062.9188,-263.50916,76561199418416731,kyousuke,1,ssg08,rifle,1208.6724118252555,0.08206177,-0.25405884,0.7720631
