tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
6041,3.451767,205.49557,-177.7066,-1537.787,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6042,3.4057617,201.98827,-177.32552,-1537.5204,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6043,3.3594055,198.45767,-177.11746,-1537.2908,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6044,3.3364105,194.90558,-177.03094,-1537.0957,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6045,3.3364105,191.33376,-176.9791,-1536.9327,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6046,3.3364105,187.82884,-176.9791,-1536.9719,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6047,3.3364105,184.40157,-176.9791,-1537.236,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6048,3.3364105,181.05226,-176.9791,-1537.7255,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6049,3.3364105,177.76845,-176.9791,-1538.4048,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6050,3.3364105,174.54475,-176.9791,-1539.2587,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6051,3.3364105,171.37624,-176.9791,-1540.2727,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6052,3.3364105,168.2584,-176.9791,-1541.4338,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6053,3.3364105,165.18724,-176.9791,-1542.73,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6054,3.3364105,162.13306,-176.9791,-1544.0873,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6055,3.3364105,159.01987,-176.9791,-1545.3525,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6056,3.3364105,155.83879,-176.9791,-1546.5121,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
6057,3.3134155,152.60791,-176.9791,-1547.5936,-175.96875,76561199418416731,kyousuke,1,ssg08,rifle,440.1090853257791,-0.37973022,0.28497314,0.42923236
