tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
6334,1.0340881,705.0109,-0.69592285,-1808.0334,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,-0.06591800000000014,0.043945310000000015,-2.220446049250313e-16,0.021972670000000027,-0.00033560000000032453,3.0000000039720476e-08,0.0,0.0,0.3203248,2.370929364194562,0.24752836455439323,12.057098400000001,-7.53051741,0.07922356338234302,1.0,-1.0,0,1.0,0.021227595927411975,0.07957503944888475,-0.7530517409999999,1.2057098400000001,0,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6335,1.0121155,707.47784,-0.6080322,-1808.0475,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,-0.02197260000000001,0.08789064999999996,0.043945400000000134,0.043945339999999944,0.043945400000000356,0.021972669999999916,0.0,0.0,0.3203248,2.4669802945301584,0.28195864040821356,13.069213900000001,-8.13854961,0.09059559320509189,1.0,1.0,0,1.0,0.05015886830867889,0.09790237397799523,-0.737670881,1.18150635,1,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6336,0.9901428,710.03314,-0.47584534,-1808.0626,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,-0.021972699999999956,0.13218686000000002,-9.999999994736442e-08,0.04429621000000006,-0.04394550000000008,0.00035087000000011415,0.0,0.0,0.3203248,2.5553446147241945,0.3104816799677253,14.0593567,-8.61439495,0.13400061754316508,1.0,-1.0,0,1.0,0.09570341759338327,0.11087366306705881,-0.709071335,1.15510559,0,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6337,0.96817017,712.6619,-0.3000641,-1808.0801,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,-0.021972629999999937,0.17578124,7.000000001866624e-08,0.04359437999999999,1.6999999996603066e-07,-0.0007018300000000699,0.0,0.0,0.3203248,2.628818249251876,0.32475510829297355,15.02752687,-8.91445905,0.17714920492357422,1.0,1.0,0,1.0,0.158328360283709,0.11906731528599186,-0.662893665,1.126507567,0,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6338,0.96817017,715.2809,-0.058013916,-1808.2993,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,0.0,0.242050184,0.021972629999999937,0.066268944,0.02197255999999992,0.022674564000000008,0.0,0.0,0.3203248,2.628157080541448,0.31176096823065197,15.995697040000001,-8.972472966,0.242050184,1.0,1.0,0,1.0,0.2431649129460708,0.11934674012310541,-0.5925109766000001,1.0979095440000002,0,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6339,1.0121155,717.89215,0.40408325,-1808.718,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,0.043945329999999894,0.462097166,0.043945329999999894,0.220046982,0.021972699999999956,0.153778038,0.0,0.0,0.3203248,2.644605122225312,0.2695758138467902,17.00781254,-8.568389716,0.4641820578760455,1.0,1.0,0,1.0,0.3888376051137785,0.10815838336160781,-0.47591857159999995,1.073706054,0,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6340,1.1219788,720.4988,0.9980469,-1809.3032,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,0.1098633,0.59396365,0.0659179700000001,0.13186648399999995,0.02197264000000021,-0.08818049800000005,0.0,0.0,0.3203248,2.671532006639579,0.22788218704197416,18.12979134,-7.570342816,0.604038709196863,1.0,1.0,0,1.0,0.5908425591635341,0.09025106083767134,-0.2999298016,1.0604888940000001,0,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6341,1.3200684,723.1048,1.9881897,-1810.0378,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,0.1980896000000001,0.9901428,0.08822630000000009,0.39617915000000004,0.022308329999999987,0.2643126660000001,0.0,0.0,0.3203248,2.7075585238365525,0.18908787447233408,19.44985974,-5.582153116000001,1.0097634643915376,1.0,1.0,0,1.0,0.9072373617831072,0.11077468731908773,-0.024926751599999998,1.0692779639999999,0,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6342,1.5621185,725.71484,3.3079224,-1810.9048,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,0.24205009999999993,1.3197326999999999,0.04396049999999985,0.3295898999999999,-0.044265800000000244,-0.06658925000000016,0.0,0.0,0.3203248,2.7502723140809295,0.1552001503421251,21.01197824,-2.274230716000001,1.3417461199345053,1.0,1.0,0,1.0,1.3464463754524223,0.19098970310164068,0.3820495684,1.108897404,0,0,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6343,1.848114,728.3357,5.5079346,-1811.8849,-407.96875,0,580.4985853506215,0.0,0.0,0.3203248,0.28599550000000007,2.2000121999999998,0.043945400000000134,0.8802794999999999,-1.5099999999712566e-05,0.5506896,0.0,0.0,0.3203248,2.798124934594585,0.12882064352084974,22.86009224,3.2337038839999988,2.218523632096149,1.0,1.0,0,0.0,2.0393014766177235,0.3016048146035621,1.0068298444,1.1837081939999998,1,1,2.252095338266667,1.0948776065780825,0.7920532,5.654175,4.862121800000001,1.223263126885354,0.6367101023982955,56.96469220018001,63.91390619470756,-179.92139,179.92447,359.84586,0.3128501944095359,-0.39632392225076485,0.0027224946488294305,0.17213095119213945,-0.9238891999999996,0.6382446000000002,1.5621337999999998,-1.5959816341850652,8.887679056747254,-0.05246063277591977,29.58979255790661,-359.84586,359.82389,719.66975,0.0034812548476037012,146.7326882897226,3.7677391634641855,29.348675029067326,0.0,359.8458626833442,359.8458626833442,12.064985425784652,145.3348352244634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
