tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
7582,0.44013977,536.2933,158.64258,-1400.8901,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.06626892000000001,0.48407000000000266,-0.02162170999999996,0.04425000000000523,-0.04359437999999993,-0.021359999999987167,0.7377086642505927,0.0,0.2045742,2.4760804591126235,0.3575944481672137,2.0677947899999998,1571.64129,0.48858503319071184,1.0,-1.0,0,2.0,0.7863635230102588,0.12151966565543165,157.164129,0.206779479,0,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7583,0.55000305,535.24384,159.25848,-1398.6134,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.10986328000000006,0.6158999999999821,0.043594360000000054,0.13182999999997946,0.06521607000000001,0.08757999999997423,0.7377086642505927,0.0,0.2045742,2.506936214106909,0.37268669526584597,2.6177978399999997,1730.89977,0.6256218908353003,1.0,1.0,0,2.0,0.9634223517123016,0.15703525103792257,157.458937,0.25079345599999997,1,1,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7584,0.6378937,534.0126,159.6547,-1396.4192,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.08789064999999996,0.3962199999999996,-0.021972630000000104,-0.21967999999998256,-0.06556699000000016,-0.351509999999962,0.7377086642505927,0.0,0.2045742,2.5160416486217985,0.3259018987056069,3.25569154,1890.55447,0.4058510253250842,-1.0,-1.0,1,3.0,1.1080982104293047,0.189749631113628,157.78234700000002,0.303596498,0,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7585,0.72613525,532.573,159.94067,-1394.3214,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.08824155,0.28597000000002026,0.00035090000000004284,-0.11024999999997931,0.022323530000000147,0.10943000000000325,0.7377086642505927,0.0,0.2045742,2.544250970325087,0.2786564871303736,3.98182679,2050.49514,0.2992748102437191,-1.0,1.0,0,3.0,1.2040939475754096,0.2178357244587293,158.121171,0.36522369499999996,1,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7586,0.7920532,530.9787,160.16077,-1392.296,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.06591795,0.22010000000000218,-0.0223236,-0.06587000000001808,-0.022674500000000042,0.04437999999996123,0.7377086642505927,0.0,0.2045742,2.577603082322778,0.23308282785246992,4.77387999,2210.65591,0.22975897399710737,-1.0,-1.0,0,2.0,1.2408556186693476,0.23511410982488837,158.47098499999998,0.433442687,0,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7587,0.8579712,529.2419,160.33655,-1390.3378,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.06591800000000003,0.17577999999997473,5.000000002919336e-08,-0.04432000000002745,0.022323650000000028,0.021549999999990632,0.7377086642505927,0.0,0.2045742,2.6174456021090844,0.19132212301093982,5.63185119,2370.99246,0.18773329785627035,-1.0,1.0,0,1.0,1.218432516183507,0.2436503662426557,158.822996,0.506022644,1,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7588,0.92388916,527.3743,160.46872,-1388.4421,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.06591795999999994,0.13217000000000212,-4.000000008996807e-08,-0.043609999999972615,-9.000000011916143e-08,0.0007100000000548334,0.7377086642505927,0.0,0.2045742,2.6611291306511733,0.15558094694393654,6.55574035,2531.46118,0.14769592530114753,-1.0,-1.0,0,1.0,1.1355818637670265,0.24588792186990216,159.168415,0.580799866,0,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7589,0.9461975,525.3548,160.53464,-1386.593,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.022308340000000038,0.06592000000000553,-0.043609619999999905,-0.06624999999999659,-0.043609579999999815,-0.022640000000023974,0.7377086642505927,0.0,0.2045742,2.7381656377946957,0.13361870679674903,7.50193785,2691.9958199999996,0.06959244523334648,-1.0,-1.0,0,1.0,1.007087953109763,0.2344744484934322,159.48743100000002,0.6534133900000001,0,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7590,0.96817017,523.19525,160.53464,-1384.787,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.021972670000000027,0.0,-0.0003356700000000101,-0.06592000000000553,0.043273949999999894,0.00032999999999105967,0.7377086642505927,0.0,0.2045742,2.8151895500125748,0.1288464691504307,8.47010802,2852.5304599999995,0.021972670000000027,-1.0,-1.0,0,1.0,0.8368777842565395,0.21404329424942461,159.769026,0.721632385,0,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7591,0.96817017,520.9074,160.53464,-1383.0204,-415.96875,0,253.23002983793796,0.13218689,-0.72576904,0.2045742,0.0,0.0,-0.021972670000000027,0.0,-0.021637000000000017,0.06592000000000553,0.7377086642505927,0.0,0.2045742,2.890524724422789,0.14012987305394403,9.43827819,3013.0650999999993,0.0,0.0,-1.0,1,2.0,0.6438670898984841,0.18763274185677353,160.006639,0.781062317,0,0,1.3025021397799998,1.1891241174692508,-0.9901428,3.9159393,4.9060821,0.4800926384089127,0.1494716510077847,122.35700829666666,39.9801672172438,34.71646,160.93082,126.21436000000001,-0.8300825127597722,-0.5814410448716925,0.005813547558528426,0.0854767279626947,-0.2420502,0.3958435,0.6378937,0.9718730837074158,3.992197694124704,-0.40666869565217384,0.5751098211790233,-2.992040000000003,0.6158999999999821,3.607939999999985,-1.4811334068639201,2.436111819444887,0.45586236378440664,0.5436157055929901,0.0,2.9940563291114577,2.9940563291114577,1.6624467367358935,3.035696105478413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
