tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
71088,-0.087890625,530.47723,1.9620972,-1820.229,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,-0.043945313,0.0,-0.043945313,0.043945299999999854,-0.06591796899999999,0.06591799999999948,0.31107260687349464,0.0,0.3250551,1.7468664038500241,2.8106797585767913e-05,-0.241699217,20.3240965,0.043945313,1.0,-1.0,1,4.0,0.04370045848755811,0.028271863794409945,2.03240965,-0.0241699217,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71089,-0.13183594,532.22296,1.9620972,-1820.1665,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,-0.04394531500000001,0.0,-2.000000012825076e-09,0.0,0.04394531099999999,-0.043945299999999854,0.31107260687349464,0.0,0.3250551,1.7468484430253048,2.9962528991173875e-05,-0.373535157,22.2861937,0.04394531500000001,0.0,-1.0,1,5.0,0.046380260619531696,0.042769926370589025,2.02142333,-0.0373535157,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71090,-0.17611694,533.96875,1.9401245,-1820.1045,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,-0.04428099999999999,-0.021972700000000067,-0.0003356849999999745,-0.021972700000000067,-0.00033568299999996165,-0.021972700000000067,0.31107260687349464,0.0,0.3250551,1.7468905873294447,2.9676100228005744e-05,-0.5496520970000001,24.226318199999998,0.04943284845414031,-1.0,-1.0,1,6.0,0.04907770600285515,0.05889886298518257,2.00823974,-0.0549652097,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71091,-0.17611694,535.71454,1.9401245,-1820.043,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,0.0,0.0,0.04428099999999999,0.021972700000000067,0.04461668499999996,0.043945400000000134,0.31107260687349464,0.0,0.3250551,1.7468729129791325,2.848213093376909e-05,-0.7257690370000001,26.166442699999998,0.0,1.0,1.0,1,7.0,0.04774804707474101,0.06648018449161155,1.9950561500000004,-0.0725769037,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71092,-0.17611694,537.4603,1.9401245,-1819.9814,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,0.0,0.0,0.0,0.0,-0.04428099999999999,-0.021972700000000067,0.31107260687349464,0.0,0.3250551,1.746846455072588,2.982350089639264e-05,-0.9018859770000001,28.106567199999997,0.0,0.0,0.0,1,8.0,0.042010628345487536,0.06841698041436649,1.98187256,-0.09018859770000001,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71093,-0.17611694,539.2061,1.9401245,-1819.9199,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,0.0,0.0,0.0,0.0,0.0,0.0,0.31107260687349464,0.0,0.3250551,1.7468829067799834,2.8338356779658238e-05,-1.078002917,30.046691699999997,0.0,0.0,0.0,0,7.0,0.03617896284162501,0.06870400939343527,1.97088623,-0.10560302610000001,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71094,-0.17611694,540.9519,1.9401245,-1819.8584,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,0.0,0.0,0.0,0.0,0.0,0.0,0.31107260687349464,0.0,0.3250551,1.7468829067799914,2.824969909257362e-05,-1.254119857,31.986816199999996,0.0,0.0,0.0,0,7.0,0.031074027488029166,0.06505066007184584,1.9620971699999998,-0.12101745450000001,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71095,-0.17611694,542.6977,1.9401245,-1819.7969,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,0.0,0.0,0.0,0.0,0.0,0.0,0.31107260687349464,0.0,0.3250551,1.7468829067799914,2.3741395217943792e-05,-1.430236797,33.926940699999996,0.0,0.0,0.0,0,6.0,0.02122761731944996,0.05670031407469096,1.95330811,-0.13643188290000002,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71096,-0.17611694,544.4435,1.9401245,-1819.7354,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,0.0,0.0,0.0,0.0,0.0,0.0,0.31107260687349464,0.0,0.3250551,1.7468829067798777,1.7146457746583444e-05,-1.606353737,35.8670652,0.0,0.0,0.0,0,5.0,0.010613822461033868,0.047385575138537535,1.94671631,-0.1496490457,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71097,-0.17611694,546.1893,1.9401245,-1819.6738,-407.96875,0,296.92601137917154,-0.043945312,-0.30795288,0.3250551,0.0,0.0,0.0,0.0,0.0,0.0,0.31107260687349464,0.0,0.3250551,1.746886430195194,1.5694725028153572e-05,-1.782470677,37.8071897,0.0,0.0,0.0,0,5.0,0.009264503779144999,0.029793494380537928,1.94451904,-0.1628662085,0,0,0.5140526304566667,0.45878483562416855,-0.26400757,1.4299316,1.69393917,-0.009523899759422397,-1.1356528584295071,29.80116586133333,22.987792641958894,1.9401245,73.17615,71.23602550000001,0.2777978768790874,-1.4599675814790012,0.004635405685618729,0.05210834703276076,-0.37388610999999994,0.22007754000000002,0.59396365,-0.8133072837468148,12.579972283371037,0.2367767043478261,0.46957950428356976,-0.7917020000000008,2.6401379999999968,3.4318399999999976,1.5173655639397685,3.7615560779499577,0.3182772101847352,0.4217259446161396,0.0,2.6424368435277774,2.6424368435277774,1.9801170537338577,4.939812883378686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
