tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
91456,6.951935,790.31854,149.39417,-1569.1705,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,0.8359834999999993,-4.135979999999989,0.3738709999999985,-1.6719299999999748,0.3076018999999972,-0.8798499999999478,0.043945312,0.0,0.0,2.244628127084824,0.15443825156856575,52.7113343,1571.5581300000001,4.219620714314518,-1.0,1.0,0,1.0,3.3239753189084036,0.7538141507739411,157.155813,5.271133430000001,0,0,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91457,8.029968,788.8407,144.15814,-1570.7427,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,1.0780330000000005,-5.2360299999999995,0.24204950000000114,-1.1000500000000102,-0.13182149999999737,0.5718799999999646,0.043945312,0.0,0.0,2.1577358285017776,0.1544205841672504,60.7413023,1715.7162700000001,5.3458549652968514,-1.0,1.0,0,1.0,5.177033019897808,1.1245321051370174,155.64660299999997,5.59893797,0,0,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91458,9.372025,787.6068,137.91034,-1572.0497,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,1.3420570000000005,-6.247800000000012,0.26402400000000004,-1.0117700000000127,0.021974499999998898,0.08827999999999747,0.043945312,0.0,0.0,1.7974310028482083,0.1685675380803222,70.11332730000001,1853.62661,6.390314689532055,-1.0,1.0,0,1.0,7.433144469786142,1.5904355860247301,153.51261300000002,6.06094821,0,0,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91459,11.000061,786.75616,129.81412,-1573.0013,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,1.6280359999999998,-8.096219999999988,0.2859789999999993,-1.848419999999976,0.02195499999999928,-0.8366499999999633,0.043945312,0.0,0.0,1.2763741495344352,0.2775590134626371,81.11338830000001,1983.44073,8.258285506429031,-1.0,1.0,0,1.0,10.211916870456584,2.148455050541996,150.564606,6.685762049999999,1,0,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91460,12.20993,786.2376,119.4303,-1573.727,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,1.2098689999999994,-10.38382,-0.4181670000000004,-2.287600000000012,-0.7041459999999997,-0.4391800000000359,0.043945312,0.0,0.0,0.8919332730648923,0.41874306710021386,93.32331830000001,2102.8710300000002,10.45406623231176,-1.0,-1.0,0,0.0,13.633193219399871,2.640648931636568,146.578217,7.431562789999999,0,0,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91461,12.759933,786.06134,110.234406,-1574.2657,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,0.5500030000000002,-9.195893999999996,-0.6598659999999992,1.1879260000000045,-0.24169899999999878,3.4755260000000163,0.043945312,0.0,0.0,0.5668026795983301,0.5699010887481668,106.08325130000001,2213.1054360000003,9.21232705450935,1.0,-1.0,1,1.0,16.978270733078954,2.9384026993931878,141.68102760000002,8.230166559999999,0,1,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91462,13.265991,786.21643,97.45215,-1574.6688,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,0.5060579999999995,-12.782256000000004,-0.04394500000000079,-3.5863620000000083,0.6159209999999984,-4.774288000000013,0.043945312,0.0,0.0,0.43190568194918144,0.6886222764239921,119.34924230000001,2310.5575860000004,12.79226966370316,-1.0,-1.0,1,2.0,20.781343713640847,3.0802702705812637,135.5584146,9.06176291,0,0,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91463,13.156128,786.63696,88.10211,-1574.987,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,-0.10986299999999893,-9.350040000000007,-0.6159209999999984,3.432215999999997,-0.5719759999999976,7.018578000000005,0.043945312,0.0,0.0,0.5273487659037286,0.7453513759534984,132.5053703,2398.659696,9.350685423024835,1.0,-1.0,1,3.0,23.958784916309277,3.0083165218225374,128.6020086,9.85157615,0,1,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91464,12.495911,787.27094,76.92627,-1575.3123,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,-0.6602170000000012,-11.175839999999994,-0.5503540000000022,-1.8257999999999868,0.06556699999999616,-5.258015999999984,0.043945312,0.0,0.0,0.7125662989504338,0.7414055931293719,145.00128130000002,2475.585966,11.195324300469766,-1.0,-1.0,1,4.0,26.79362782185872,2.710879917672285,120.69521559999998,10.535783349999999,0,0,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91465,11.395905,788.09235,66.80615,-1575.7103,-415.96875,0,1313.972915496735,0.043945312,0.0,0.0,-1.1000059999999987,-10.12012,-0.43978899999999754,1.0557199999999938,0.11056500000000469,2.8815199999999805,0.043945312,0.0,0.0,0.9127531912296734,0.6836623169641305,156.39718630000002,2542.392116,10.179727010801223,1.0,-1.0,1,5.0,28.934561577799705,2.2250326870672192,112.02281560000002,11.0637787,0,0,-1.6467108189533337,8.708784744691961,-16.236084,13.750076,29.98616,-0.12427200275130461,-0.9883497896568572,75.04202031600002,127.5342760594315,-179.26392,179.87811,359.14203,-0.8443896031574973,-0.9302921592199178,-0.06695597525083612,0.4400544393737639,-1.3417053,1.6280359999999998,2.9697413,0.6061217217497252,3.3289645818699705,0.02255943143812682,20.999095022726255,-12.782256000000004,359.14203,371.924286,16.889773485255205,289.84731597027866,2.555767578731559,20.847224785583396,0.0,359.14214387319197,359.14214387319197,16.90793845146576,290.0559663518696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
