tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
137062,-0.043258667,1946.6559,-149.82639,-1575.6117,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137063,-0.06283569,1946.4661,-149.74811,-1575.2853,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137064,-0.07244873,1946.3192,-149.65027,-1575.0327,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137065,-0.07244873,1946.2223,-149.47415,-1574.8662,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137066,-0.07244873,1946.1802,-149.32755,-1574.7937,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137067,-0.07244873,1946.1802,-149.16138,-1574.7937,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137068,-0.0920105,1946.1802,-149.03435,-1574.7937,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137069,-0.121536255,1946.1802,-148.92654,-1574.7937,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137070,-0.14111328,1946.1838,-148.8287,-1574.7998,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137071,-0.15072632,1946.2435,-148.77994,-1574.8978,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137072,-0.15072632,1946.3108,-148.74081,-1575.0085,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137073,-0.15072632,1946.3845,-148.72124,-1575.1299,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137074,-0.15072632,1946.4646,-148.72124,-1575.2618,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137075,-0.15072632,1946.5514,-148.71162,-1575.4047,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137076,-0.15072632,1946.6447,-148.69205,-1575.5582,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137077,-0.15072632,1946.7448,-148.64296,-1575.7225,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137078,-0.15072632,1946.8513,-148.58426,-1575.8975,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137079,-0.15072632,1946.9647,-148.52554,-1576.0831,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137080,-0.15072632,1947.0321,-148.49637,-1576.1934,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137081,-0.14111328,1947.048,-148.47679,-1576.2192,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137082,-0.13114929,1947.0234,-148.45721,-1576.1793,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137083,-0.13114929,1946.9609,-148.44727,-1576.0778,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137084,-0.13114929,1946.8903,-148.44727,-1575.9628,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137085,-0.13114929,1946.8131,-148.44727,-1575.837,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137086,-0.13114929,1946.7292,-148.44727,-1575.7006,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137087,-0.13114929,1946.6389,-148.43765,-1575.5533,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137088,-0.13114929,1946.5767,-148.4277,-1575.4521,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137089,-0.13114929,1946.5654,-148.4277,-1575.434,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137090,-0.13114929,1946.5654,-148.4277,-1575.434,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137091,-0.13114929,1946.5654,-148.4277,-1575.434,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137092,-0.13114929,1946.5654,-148.4277,-1575.434,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137093,-0.13114929,1946.5654,-148.4277,-1575.434,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137094,-0.13114929,1946.5654,-148.41809,-1575.434,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137095,-0.13114929,1946.557,-148.41809,-1575.4203,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137096,-0.13114929,1946.4965,-148.41809,-1575.3217,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137097,-0.13114929,1946.4276,-148.41809,-1575.2096,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
137098,-0.13114929,1946.352,-148.41809,-1575.0868,-407.96875,76561198173700433,aVa,0,fiveseven,pistol,1142.9328637365836,-0.13218689,0.32992554,1.5275005
