tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
92701,4.2681885,1542.3009,72.19495,-2213.4834,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92702,4.2681885,1539.6271,72.19495,-2211.677,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92703,4.2681885,1537.0322,72.19495,-2209.7485,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92704,4.2681885,1534.51,72.19495,-2207.708,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92705,4.2681885,1532.0547,72.19495,-2205.5647,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92706,4.2681885,1529.6608,72.19495,-2203.327,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92707,4.2681885,1527.3234,72.19495,-2201.002,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92708,4.2681885,1525.038,72.19495,-2198.5972,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92709,4.2681885,1522.8002,72.19495,-2196.1191,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92710,4.2681885,1520.7444,72.19495,-2193.8428,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92711,4.2681885,1518.8555,72.19495,-2191.7512,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92712,4.136017,1517.12,72.28284,-2189.8296,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92713,4.114044,1515.5254,72.21692,-2188.064,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92714,4.201935,1514.0604,71.6669,-2186.442,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92715,4.136017,1512.835,70.54492,-2185.0852,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92716,3.806076,1511.6498,69.09268,-2183.6934,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92717,3.5859985,1510.5046,67.88281,-2182.2683,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92718,3.2780457,1509.4003,66.364624,-2180.8115,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92719,2.9920654,1508.337,65.000946,-2179.3245,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92720,2.7939606,1507.314,64.07672,-2177.8093,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92721,2.6181793,1506.3306,63.02066,-2176.2683,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92722,2.507965,1505.386,62.27292,-2174.7031,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92723,2.442047,1504.4788,61.568756,-2173.116,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92724,2.3761292,1503.6079,60.84262,-2171.5085,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92725,2.3541565,1502.7722,60.11685,-2169.8826,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92726,2.3098755,1501.9702,59.54486,-2168.2397,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92727,2.2439575,1501.2009,58.90663,-2166.5813,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92728,2.2000122,1500.4633,58.29071,-2164.9087,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92729,2.1340942,1499.7556,57.872894,-2163.2231,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92730,2.045868,1499.0768,57.36682,-2161.5256,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92731,1.97995,1498.4254,56.88275,-2159.8176,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92732,1.8700867,1497.8007,56.222534,-2158.0996,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92733,1.7378998,1497.2024,55.452805,-2156.372,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92734,1.5840912,1496.6309,54.506607,-2154.6355,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92735,1.4958496,1496.0858,53.75885,-2152.8904,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92736,1.3859863,1495.5667,53.07666,-2151.1375,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92737,1.3200684,1495.0723,52.59259,-2149.3774,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92738,1.2541504,1494.6022,51.976654,-2147.6108,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92739,1.1878967,1494.1555,51.492584,-2145.8381,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92740,1.1659241,1493.7316,51.008484,-2144.0598,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92741,1.1219788,1493.3293,50.502777,-2142.2764,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92742,1.1000061,1492.9335,50.018692,-2140.337,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92743,1.0780334,1492.546,49.534607,-2138.2537,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92744,1.0560608,1492.1696,48.896713,-2136.0383,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92745,1.0340881,1491.8058,48.34671,-2133.7012,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92746,1.0340881,1491.4579,47.642548,-2131.2522,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92747,1.0121155,1491.1282,46.916428,-2128.7002,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92748,0.9901428,1490.8198,46.014526,-2126.0535,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92749,0.9901428,1490.5352,45.26642,-2123.3196,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92750,0.96817017,1490.2761,44.474716,-2120.5059,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92751,0.9461975,1490.0464,43.440628,-2117.6187,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92752,0.9019165,1489.8478,42.626617,-2114.6643,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92753,0.87994385,1489.6827,41.7247,-2111.6484,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92754,0.8579712,1489.5529,40.82245,-2108.5762,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92755,0.8579712,1489.4613,39.766724,-2105.453,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92756,0.8579712,1489.4106,38.64441,-2102.283,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92757,0.83599854,1489.4023,37.742493,-2099.071,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92758,0.8140259,1489.4382,36.7527,-2095.8213,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92759,0.7920532,1489.5201,35.674667,-2092.5374,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92760,0.7481079,1489.6506,34.442474,-2089.2231,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92761,0.7041626,1489.832,33.27655,-2085.8823,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92762,0.68218994,1490.0663,32.06668,-2082.5188,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92763,0.6378937,1490.3562,30.658722,-2079.1357,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92764,0.615921,1490.703,29.536743,-2075.7363,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92765,0.615921,1491.1091,28.194702,-2072.3242,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92766,0.615921,1491.5756,26.984482,-2068.9019,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92767,0.615921,1492.1047,25.554535,-2065.4724,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92768,0.59394836,1492.6968,24.454529,-2062.0386,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92769,0.55000305,1493.354,22.980652,-2058.6035,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92770,0.50605774,1494.0758,21.968536,-2055.1697,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92771,0.44013977,1494.6609,20.912476,-2051.7332,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92772,0.3518982,1495.0961,19.900696,-2048.292,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92773,0.24203491,1495.4565,18.756744,-2044.9463,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92774,0.15414429,1495.8312,17.788574,-2041.9867,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92775,0.06591797,1496.2797,16.930618,-2039.6956,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92776,-0.06591797,1496.7749,15.984421,-2037.8809,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92777,-0.1538086,1497.3099,15.346527,-2036.505,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92778,-0.22006226,1497.8787,14.818497,-2035.5331,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92779,-0.26400757,1498.3308,14.532501,-2034.8528,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92780,-0.26400757,1498.577,14.532501,-2034.5114,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92781,-0.1980896,1498.5737,14.950684,-2034.5747,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92782,0.24203491,1498.4493,16.8647,-2034.8074,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92783,1.0340881,1498.246,20.164719,-2035.2246,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92784,2.2659302,1497.9857,25.400726,-2035.8352,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92785,3.937912,1497.7051,33.474655,-2036.6484,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92786,5.962143,1497.4594,45.3107,-2037.6677,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92787,7.67807,1497.304,57.740707,-2038.8829,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92788,8.998138,1497.2998,72.282486,-2040.2657,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92789,9.85611,1497.5082,89.61856,-2041.7515,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92790,9.878082,1497.9618,105.26068,-2043.2662,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92791,9.151947,1498.6705,119.956635,-2044.7365,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92792,7.8318787,1499.6237,133.15671,-2046.0972,-639.49207,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92793,6.336029,1500.7982,143.16663,-2047.3043,-639.7939,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92794,4.5318604,1502.1659,152.23068,-2048.324,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92795,2.9920654,1503.5822,158.06064,-2049.1067,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92796,1.8041687,1504.986,160.72241,-2049.5479,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92797,1.342041,1506.3737,160.50269,-2049.6042,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92798,1.342041,1507.7493,160.50269,-2049.3713,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92799,1.342041,1509.114,160.50269,-2048.8723,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92800,1.342041,1510.469,160.50269,-2048.1292,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92801,1.342041,1511.8145,160.50269,-2047.1617,-639.75824,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92802,1.342041,1513.1515,160.50269,-2045.988,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92803,1.342041,1514.4808,160.50269,-2044.625,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92804,1.342041,1515.803,160.50269,-2043.0879,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92805,1.342041,1517.1184,160.50269,-2041.3911,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92806,1.342041,1518.428,160.50269,-2039.5471,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92807,1.342041,1519.7322,160.50269,-2037.5681,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92808,1.342041,1521.0315,160.50269,-2035.4653,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92809,1.342041,1522.13,160.50269,-2033.2678,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92810,1.342041,1523.0103,160.50269,-2030.9767,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92811,1.342041,1523.6744,160.50269,-2028.593,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92812,1.342041,1524.1545,160.52466,-2026.1305,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92813,1.407959,1524.4634,160.98645,-2023.5963,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92814,1.5621185,1524.6095,162.10843,-2020.9993,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92815,1.6060638,1524.6,163.45047,-2018.3477,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92816,1.6060638,1524.4423,164.55048,-2015.6487,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92817,1.5840912,1524.1433,165.60654,-2012.9089,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92818,1.5181732,1523.8685,166.55273,-2010.392,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92819,1.407959,1523.6162,167.19061,-2008.0796,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92820,1.2980957,1523.3845,167.71866,-2005.9552,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92821,1.1878967,1523.1547,168.18042,-2004.1416,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92822,1.1000061,1522.8486,168.5986,-2002.3392,-639.46875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92823,1.0560608,1522.4727,168.92853,-2000.5502,-639.69336,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92824,1.0121155,1522.0321,169.23648,-1998.7759,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92825,0.9901428,1521.5327,169.47852,-1997.0172,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92826,0.96817017,1520.98,169.65466,-1995.2747,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92827,0.96817017,1520.379,169.76453,-1993.5481,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92828,0.9461975,1519.7345,169.7865,-1991.8374,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92829,0.9461975,1519.0505,169.7865,-1990.1421,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92830,0.9461975,1518.3314,169.76453,-1988.4613,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92831,0.9461975,1517.5615,169.65466,-1986.8213,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92832,0.96817017,1516.6848,169.39062,-1985.2805,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92833,1.0340881,1515.6925,168.79669,-1983.8468,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92834,1.1219788,1514.6348,167.89444,-1982.6234,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92835,1.2098694,1513.5095,166.2005,-1981.6029,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92836,1.276123,1512.3234,164.2645,-1980.7504,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92837,1.3200684,1511.0779,161.9766,-1980.0465,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92838,1.3640137,1509.775,159.66672,-1979.4727,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92839,1.342041,1508.4161,157.04852,-1979.0109,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92840,1.342041,1507.0029,154.5845,-1978.6453,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92841,1.4519043,1505.5374,151.85645,-1978.3601,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92842,1.6060638,1504.0225,150.25073,-1978.1438,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92843,1.6060638,1502.4623,150.25073,-1977.9912,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92844,1.6060638,1500.8604,150.25073,-1977.897,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92845,1.6060638,1499.2202,150.25073,-1977.8561,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92846,1.6060638,1497.5452,150.25073,-1977.8645,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92847,1.6060638,1495.8378,150.25073,-1977.9182,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92848,1.6060638,1494.1008,150.25073,-1978.0137,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92849,1.6060638,1492.3364,150.25073,-1978.1473,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92850,1.6060638,1490.547,150.25073,-1978.3159,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
92851,1.6060638,1488.7346,150.25073,-1978.5168,-639.96875,76561198173700433,aVa,0,m4a1_silencer,rifle,337.50302720092003,0.08824158,0.13217163,0.3021294
