tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
135168,1.848114,1740.1831,-84.30256,-1213.4409,-401.23645,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135169,1.8041687,1740.7214,-84.34685,-1217.3099,-402.36475,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135170,1.7818451,1741.2468,-84.412766,-1221.1807,-403.4936,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135171,1.7598724,1741.7603,-84.47868,-1225.053,-404.6228,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135172,1.7598724,1742.2622,-84.52263,-1228.9269,-405.75256,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135173,1.7598724,1742.7539,-84.52263,-1232.8021,-406.8827,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135174,1.7598724,1743.2357,-84.52263,-1236.6786,-408.01318,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135175,1.7598724,1743.7086,-84.52263,-1240.5562,-409.14404,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135176,1.7598724,1744.1733,-84.52263,-1244.4347,-410.27515,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135177,1.7598724,1744.6305,-84.52263,-1248.3141,-411.4065,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135178,1.7598724,1745.0808,-84.5446,-1252.1943,-412.5381,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135179,1.7598724,1745.5248,-84.5446,-1256.0753,-413.66968,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135180,1.7598724,1745.9629,-84.5446,-1259.9569,-414.79187,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135181,1.7598724,1746.3956,-84.5446,-1263.8391,-415.92065,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135182,1.7598724,1746.8235,-84.5446,-1267.7218,-415.96875,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135183,1.7598724,1747.2468,-84.5446,-1271.605,-415.96875,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135184,1.7598724,1747.6661,-84.5446,-1275.4886,-415.96875,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135185,1.7598724,1748.0814,-84.5446,-1279.3728,-415.96875,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
135186,1.7598724,1748.493,-84.566574,-1283.2573,-415.96875,76561198173700433,aVa,0,awp,sniper,1873.8867612882495,-0.0023956299,-0.012008667,0.0
